;num_a;num_b;num_c;num_ç;num_d;num_e;num_f;num_g;num_h;num_i;num_j;num_k;num_l;num_m;num_n;num_ñ;num_o;num_p;num_q;num_r;num_s;num_t;num_u;num_v;num_w;num_x;num_y;num_z;num_sch;num_ch;num_sh;num_gn;num_esszett;num_ssh;num_ix;num_ll;num_œ;num_à;num_á;num_â;num_ä;num_è;num_é;num_ê;num_ë;num_ì;num_í;num_î;num_ï;num_ò;num_ó;num_ô;num_ö;num_ù;num_ú;num_û;num_ü;num_consonants;num_vowels;num_triple_vowels;num_triple_consonants;num_capital;max_length_word;mean_length_words
8109;1;0;0;0;2;5;1;2;3;6;0;0;2;1;6;0;4;0;0;3;2;5;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;29;0;0;2;7;4.636363636363637
8110;4;2;2;0;6;4;2;2;2;7;1;0;4;1;4;0;4;0;0;5;3;6;2;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;43;0;4;2;9;4.571428571428571
8111;5;0;1;0;6;6;1;0;5;5;1;0;4;1;4;0;3;1;0;5;3;5;2;1;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;46;0;6;2;8;4.866666666666666
8112;12;2;2;0;5;16;2;5;12;9;0;4;2;1;11;0;4;4;0;4;7;16;4;1;5;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;87;0;2;1;11;4.03030303030303
8113;6;0;0;0;3;8;0;0;6;1;0;0;1;1;3;0;0;0;0;5;2;2;1;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;27;0;1;3;5;3.5833333333333335
8114;11;1;0;0;10;15;4;3;10;7;0;0;8;6;6;0;8;0;0;6;8;9;1;1;3;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;78;0;3;2;13;4.357142857142857
8115;5;1;0;0;7;9;3;1;5;1;0;0;1;1;2;0;3;0;0;5;3;3;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;35;0;2;3;9;4.75
8116;18;3;5;0;17;34;4;2;16;13;0;1;8;10;16;0;24;4;0;18;9;20;5;2;3;2;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;147;0;8;6;13;4.75
8117;5;2;3;0;6;6;0;1;2;5;0;1;3;0;4;0;2;0;0;4;4;2;2;0;2;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;37;0;1;1;9;5.090909090909091
8118;5;4;1;0;9;9;1;6;5;15;0;0;4;1;8;0;9;1;0;5;4;10;0;2;1;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;66;0;2;4;9;3.9642857142857144
8119;8;1;1;0;10;8;3;1;3;6;0;0;6;4;6;0;8;0;0;4;3;3;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;49;0;1;7;8;3.9047619047619047
8120;1;0;1;0;3;4;0;2;2;7;0;2;2;0;6;0;3;1;0;3;7;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;32;0;3;3;9;4.416666666666667
8121;8;3;2;0;2;6;1;2;5;8;0;1;5;1;3;0;6;2;0;4;6;7;2;2;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;52;0;4;2;8;4.095238095238095
8122;5;1;0;0;1;4;0;3;4;2;0;1;1;0;6;0;4;0;0;1;3;3;2;0;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;29;0;2;2;8;4.090909090909091
8123;2;0;1;0;3;6;1;1;4;2;0;0;2;2;2;0;5;1;0;2;2;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;25;0;0;1;7;4.2
8124;19;2;6;0;11;27;2;3;10;8;1;3;5;8;15;0;12;3;0;10;11;15;1;2;3;0;4;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;116;0;5;8;10;5.083333333333333
